primary_label,filename,rating,latitude,longitude,file_path,class_name,duration
amakin1,amakin1/XC113758.ogg,4.0,-20.8004,-42.8884,birdclef-2025/train_audio/amakin1/XC113758.ogg,Aves,8.04571875
amakin1,amakin1/XC128795.ogg,5.0,-16.7581,-56.8764,birdclef-2025/train_audio/amakin1/XC128795.ogg,Aves,13.968
amakin1,amakin1/XC128804.ogg,5.0,-16.7581,-56.8764,birdclef-2025/train_audio/amakin1/XC128804.ogg,Aves,9.816
amakin1,amakin1/XC128806.ogg,5.0,-16.7581,-56.8764,birdclef-2025/train_audio/amakin1/XC128806.ogg,Aves,13.536
amakin1,amakin1/XC129931.ogg,5.0,-9.5981,-55.932,birdclef-2025/train_audio/amakin1/XC129931.ogg,Aves,8.16
amakin1,amakin1/XC131505.ogg,5.0,-12.0478,-69.6759,birdclef-2025/train_audio/amakin1/XC131505.ogg,Aves,12.2775625
amakin1,amakin1/XC176510.ogg,4.0,-27.5218,-49.6199,birdclef-2025/train_audio/amakin1/XC176510.ogg,Aves,9.6391875
amakin1,amakin1/XC1881.ogg,4.0,-13.55,-61.01,birdclef-2025/train_audio/amakin1/XC1881.ogg,Aves,10.9191875
amakin1,amakin1/XC238129.ogg,4.0,-1.584,-77.763,birdclef-2025/train_audio/amakin1/XC238129.ogg,Aves,18.36409375
amakin1,amakin1/XC257911.ogg,4.0,-0.498,-76.373,birdclef-2025/train_audio/amakin1/XC257911.ogg,Aves,7.96734375
amakin1,amakin1/XC257913.ogg,5.0,-0.523,-76.438,birdclef-2025/train_audio/amakin1/XC257913.ogg,Aves,16.48325
amakin1,amakin1/XC257914.ogg,5.0,-0.548,-76.041,birdclef-2025/train_audio/amakin1/XC257914.ogg,Aves,11.23265625
amakin1,amakin1/XC257915.ogg,4.5,-0.523,-76.438,birdclef-2025/train_audio/amakin1/XC257915.ogg,Aves,11.4155
amakin1,amakin1/XC298938.ogg,4.0,-3.4501,-72.8801,birdclef-2025/train_audio/amakin1/XC298938.ogg,Aves,13.4530625
amakin1,amakin1/XC301610.ogg,5.0,-16.6003,-49.2802,birdclef-2025/train_audio/amakin1/XC301610.ogg,Aves,7.83675
amakin1,amakin1/XC306297.ogg,5.0,-18.9439,-46.9925,birdclef-2025/train_audio/amakin1/XC306297.ogg,Aves,6.321625
amakin1,amakin1/XC325534.ogg,4.0,-34.54,-58.4454,birdclef-2025/train_audio/amakin1/XC325534.ogg,Aves,8.3069375
amakin1,amakin1/XC332256.ogg,5.0,-23.9571,-52.1851,birdclef-2025/train_audio/amakin1/XC332256.ogg,Aves,10.08325
amakin1,amakin1/XC343339.ogg,5.0,-19.6617,-57.0195,birdclef-2025/train_audio/amakin1/XC343339.ogg,Aves,6.530625
amakin1,amakin1/XC415847.ogg,5.0,-16.5728,-49.3122,birdclef-2025/train_audio/amakin1/XC415847.ogg,Aves,5.9036875
amakin1,amakin1/XC51481.ogg,4.0,-22.1931,-63.9445,birdclef-2025/train_audio/amakin1/XC51481.ogg,Aves,6.73959375
amakin1,amakin1/XC51482.ogg,4.0,-22.1931,-63.9445,birdclef-2025/train_audio/amakin1/XC51482.ogg,Aves,14.36734375
amakin1,amakin1/XC51483.ogg,4.0,-22.1931,-63.9445,birdclef-2025/train_audio/amakin1/XC51483.ogg,Aves,15.30775
amakin1,amakin1/XC51484.ogg,4.0,-22.1931,-63.9445,birdclef-2025/train_audio/amakin1/XC51484.ogg,Aves,4.5975625
amakin1,amakin1/XC51485.ogg,4.0,-22.1931,-63.9445,birdclef-2025/train_audio/amakin1/XC51485.ogg,Aves,8.2285625
amakin1,amakin1/XC550265.ogg,4.0,-26.5723,-53.8018,birdclef-2025/train_audio/amakin1/XC550265.ogg,Aves,14.544
amakin1,amakin1/XC550401.ogg,4.0,-16.7546,-56.8859,birdclef-2025/train_audio/amakin1/XC550401.ogg,Aves,9.32571875
